127.0.0.1 - - [24/Jun/2015:14:12:42 +0800] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:12:44 +0800] "GET /Shopping/ HTTP/1.1" 404 995
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:12:56 +0800] "GET /Shopping/ HTTP/1.1" 404 995
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:39 +0800] "GET /Shopping/css/css.css HTTP/1.1" 200 4378
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg-land.gif HTTP/1.1" 200 1743
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/ HTTP/1.1" 200 8834
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/bg.jpg HTTP/1.1" 200 1003
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_top01.jpg HTTP/1.1" 200 13403
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_left02.jpg HTTP/1.1" 200 16955
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_top02.jpg HTTP/1.1" 200 19154
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_top03.jpg HTTP/1.1" 200 12649
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_left03.jpg HTTP/1.1" 200 34002
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_right01.jpg HTTP/1.1" 200 26528
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_left05.jpg HTTP/1.1" 200 31061
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:40 +0800] "GET /Shopping/image/fg_left01.jpg HTTP/1.1" 200 28435
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:42 +0800] "GET /Shopping/image/fg_top04.jpg HTTP/1.1" 200 12600
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:43 +0800] "GET /Shopping/goodsAction.do?action=15&mark=1 HTTP/1.1" 200 9315
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:44 +0800] "GET /Shopping/image/fg_right02.jpg HTTP/1.1" 200 28881
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:47 +0800] "GET /Shopping/bg-resultTen.jsp HTTP/1.1" 200 8586
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:49 +0800] "GET /Shopping/index.jsp HTTP/1.1" 200 8834
0:0:0:0:0:0:0:1%0 - - [24/Jun/2015:14:19:56 +0800] "GET /Shopping/bg-resultTen.jsp HTTP/1.1" 200 8586
